date,n1,n2,n3,n4,n5
2009/3/13,13,3,4,25,36
2009/3/16,11,4,1,29,38
2009/3/17,5,7,37,35,13
2009/3/18,32,4,38,35,27
2009/3/19,2,30,33,31,39
2009/3/20,33,34,9,17,36
2009/3/23,28,5,27,22,24
2009/3/24,38,5,21,17,31
2009/3/25,14,15,30,32,17
2009/3/26,28,1,16,29,13
2009/3/27,24,12,39,3,9
2009/3/30,25,28,26,15,8
2009/3/31,31,20,25,34,21
2009/4/1,11,31,22,16,36
2009/4/2,13,23,29,16,31
2009/4/3,14,19,37,12,39
2009/4/6,20,35,36,16,39
2009/4/7,10,24,39,4,2
2009/4/8,3,33,8,10,26
2009/4/9,5,36,18,8,26
2009/4/10,2,32,23,3,1
2009/4/13,30,38,6,17,3
2009/4/14,29,5,3,30,21
2009/4/15,29,38,23,3,35
2009/4/16,25,11,30,4,15
2009/4/17,8,32,33,7,39
2009/4/20,37,1,39,3,29
2009/4/21,16,27,11,20,28
2009/4/22,20,2,38,17,36
2009/4/23,31,2,21,30,1
2009/4/24,28,38,36,20,11
2009/4/27,29,16,23,3,9
2009/4/28,38,36,2,7,35
2009/4/29,19,13,7,1,20
2009/4/30,37,16,27,15,22
2009/5/1,29,12,31,13,36
2009/5/4,15,12,33,29,16
2009/5/5,22,6,28,37,34
2009/5/6,5,7,35,16,39
2009/5/7,30,21,26,20,19
2009/5/8,14,34,22,33,1
2009/5/11,16,39,10,24,1
2009/5/12,34,11,1,9,31
2009/5/13,16,30,20,37,11
2009/5/14,37,9,33,10,20
2009/5/15,39,37,26,25,24
2009/5/18,13,12,3,36,38
2009/5/19,29,31,11,3,9
2009/5/20,18,23,22,9,15
2009/5/21,39,20,2,13,32
2009/5/22,11,12,3,34,27
2009/5/25,1,33,39,27,30
2009/5/26,36,7,1,34,16
2009/5/27,26,14,17,32,21
2009/5/28,34,30,9,11,38
2009/5/29,5,6,25,38,9
2009/6/1,29,21,1,31,20
2009/6/2,6,4,12,1,18
2009/6/3,24,20,8,10,37
2009/6/4,19,25,28,36,15
2009/6/5,38,14,15,2,12
2009/6/8,9,13,22,27,33
2009/6/9,34,38,31,6,23
2009/6/10,35,24,31,12,27
2009/6/11,15,19,25,33,14
2009/6/12,19,34,33,4,35
2009/6/15,21,13,27,7,18
2009/6/16,4,20,19,6,15
2009/6/17,12,36,7,27,16
2009/6/18,19,24,11,29,1
2009/6/19,18,12,37,21,6
2009/6/22,25,10,34,21,17
2009/6/23,17,31,32,20,21
2009/6/24,34,16,21,38,22
2009/6/25,38,28,2,19,10
2009/6/26,15,13,20,39,27
2009/6/29,9,3,7,24,15
2009/6/30,11,31,21,1,29
2009/7/1,11,9,32,25,33
2009/7/2,31,25,30,10,4
2009/7/3,4,29,14,35,2
2009/7/6,6,23,7,13,3
2009/7/7,27,1,22,36,30
2009/7/8,12,13,22,24,33
2009/7/9,6,37,21,17,35
2009/7/10,3,31,15,26,25
2009/7/13,36,14,16,31,37
2009/7/14,3,4,23,15,7
2009/7/15,37,5,2,27,36
2009/7/16,2,21,10,39,37
2009/7/17,6,3,1,33,15
2009/7/20,9,8,38,17,4
2009/7/21,25,3,32,24,17
2009/7/22,13,3,6,10,22
2009/7/23,1,32,3,24,39
2009/7/24,30,14,33,34,28
2009/7/27,8,36,38,5,37
2009/7/28,19,13,3,21,37
2009/7/29,24,2,33,15,23
2009/7/30,3,18,9,38,34
2009/7/31,13,14,16,17,32
2009/8/3,20,23,26,6,1
2009/8/4,18,14,10,12,34
2009/8/5,10,37,25,29,2
2009/8/6,33,16,28,32,17
2009/8/7,1,14,25,37,8
2009/8/10,23,39,19,3,12
2009/8/11,32,5,18,22,23
2009/8/12,32,17,37,8,5
2009/8/13,11,17,15,8,31
2009/8/14,37,28,8,30,25
2009/8/17,10,38,34,1,25
2009/8/18,26,6,17,7,15
2009/8/19,36,20,35,14,6
2009/8/20,9,34,16,12,14
2009/8/21,26,17,28,31,23
2009/8/24,18,1,22,39,27
2009/8/25,7,17,14,37,29
2009/8/26,17,10,26,7,19
2009/8/27,24,26,28,29,37
2009/8/28,16,9,29,24,21
2009/8/31,16,20,5,1,38
2009/9/1,35,22,15,2,32
2009/9/2,38,34,7,2,4
2009/9/3,10,23,17,39,26
2009/9/4,22,38,9,27,17
2009/9/7,22,29,27,9,11
2009/9/8,11,31,26,1,27
2009/9/9,26,22,1,31,29
2009/9/10,26,16,15,13,18
2009/9/11,16,25,32,33,26
2009/9/14,26,14,27,13,8
2009/9/15,31,27,6,14,30
2009/9/16,38,8,23,27,28
2009/9/17,30,23,39,7,19
2009/9/18,38,22,12,11,15
2009/9/21,24,34,27,14,4
2009/9/22,9,27,32,14,18
2009/9/23,9,37,13,3,38
2009/9/24,2,37,10,9,21
2009/9/25,14,20,5,16,3
2009/9/28,33,6,31,32,26
2009/9/29,34,32,31,24,11
2009/9/30,16,23,7,11,5
2009/10/1,31,35,7,24,14
2009/10/2,31,36,14,24,26
2009/10/5,23,24,18,20,30
2009/10/6,22,29,18,25,15
2009/10/7,5,3,8,9,35
2009/10/8,33,2,34,26,31
2009/10/9,35,28,38,8,1
2009/10/12,2,29,9,17,27
2009/10/13,24,13,31,6,26
2009/10/14,10,3,26,23,9
2009/10/15,7,13,28,18,38
2009/10/16,23,2,11,19,16
2009/10/19,12,20,36,34,23
2009/10/20,30,10,17,11,15
2009/10/21,23,39,21,36,15
2009/10/22,24,31,32,10,7
2009/10/23,23,15,2,21,37
2009/10/26,23,17,29,6,37
2009/10/27,29,6,25,19,22
2009/10/28,34,18,27,13,1
2009/10/29,15,3,26,17,6
2009/10/30,38,14,37,22,5
2009/11/2,17,23,26,3,4
2009/11/3,32,30,39,7,35
2009/11/4,10,35,2,9,27
2009/11/5,15,5,11,39,26
2009/11/6,20,35,21,10,8
2009/11/9,31,6,18,17,37
2009/11/10,26,27,12,8,30
2009/11/11,13,28,33,39,37
2009/11/12,38,28,22,26,12
2009/11/13,28,5,1,31,34
2009/11/16,36,35,34,16,11
2009/11/17,19,28,6,32,2
2009/11/18,37,14,5,15,26
2009/11/19,25,23,22,31,34
2009/11/20,17,5,10,28,38
2009/11/23,39,5,25,32,37
2009/11/24,10,23,18,17,3
2009/11/25,18,11,6,37,10
2009/11/26,28,14,9,27,38
2009/11/27,38,15,31,24,7
2009/11/30,30,29,13,10,22
2009/12/1,2,29,8,7,25
2009/12/2,14,25,38,36,33
2009/12/3,23,21,8,4,18
2009/12/4,34,37,15,17,14
2009/12/7,33,10,9,25,31
2009/12/8,5,35,15,11,1
2009/12/9,16,7,35,29,37
2009/12/10,24,15,7,28,14
2009/12/11,26,27,29,9,6
2009/12/14,10,28,6,27,16
2009/12/15,35,19,30,26,25
2009/12/16,30,39,37,10,19
2009/12/17,37,21,39,4,15
2009/12/18,21,37,5,25,20
2009/12/21,32,26,22,18,29
2009/12/22,5,2,17,7,10
2009/12/23,2,30,15,8,35
2009/12/24,20,2,11,19,36
2009/12/25,19,17,15,2,28
2009/12/28,13,3,5,10,29
2009/12/29,27,18,5,35,28
2009/12/30,31,7,34,13,12
2009/12/31,7,21,39,31,6
2010/1/1,5,23,27,4,3
2010/1/4,4,27,31,19,14
2010/1/5,5,27,15,35,3
2010/1/6,37,25,11,28,39
2010/1/7,30,24,26,6,34
2010/1/8,18,11,30,17,16
2010/1/11,19,27,29,24,17
2010/1/12,19,37,27,1,30
2010/1/13,39,33,8,16,36
2010/1/14,33,28,16,12,32
2010/1/15,31,32,38,29,13
2010/1/18,14,36,5,33,38
2010/1/19,23,25,32,10,11
2010/1/20,33,28,39,19,14
2010/1/21,11,18,29,7,37
2010/1/22,18,1,25,12,35
2010/1/25,31,12,22,19,23
2010/1/26,2,5,6,9,23
2010/1/27,38,7,8,25,14
2010/1/28,1,11,32,36,3
2010/1/29,11,17,30,22,15
2010/2/1,30,2,35,7,22
2010/2/2,5,20,38,16,37
2010/2/3,15,32,38,35,3
2010/2/4,16,11,2,25,4
2010/2/5,5,21,15,1,25
2010/2/8,27,39,35,13,31
2010/2/9,6,24,4,26,32
2010/2/10,19,13,7,38,36
2010/2/11,23,9,6,31,27
2010/2/12,21,26,38,23,11
2010/2/15,2,11,28,9,1
2010/2/16,18,19,39,27,35
2010/2/17,4,7,34,28,8
2010/2/18,11,26,9,39,24
